id,date,matchweek,home_team_id,away_team_id,home_team_score,away_team_score,attendance,youtube_id
369,8/18/2023,2,16,17,2,1,"29,432",6DfhUDGYQs4
370,9/18/2023,5,16,6,1,1,"28,958",fno0wU0lj2c
371,10/21/2023,9,16,12,2,2,"29,361",_sN6G2jjxDw
372,3/16/2024,29,12,16,1,1,"11,630",UJ6EDnGF-2M
373,5/4/2024,36,17,16,1,3,"28,516",2WYLdQVaHQM
374,5/19/2024,38,6,16,1,2,"21,109",CGsZB0UYytI
375,10/3/2023,2,12,6,1,2,"10,918",hTUPQnFbIRU
376,12/26/2023,19,17,12,2,3,"31,041",1CE9OOx_TBU
377,1/12/2024,21,6,12,1,1,"20,155",Az08AieqiJs
378,2/10/2024,24,12,17,1,3,"11,138",9w0q-wnXfmg
379,12/2/2023,14,6,17,5,0,"21,478",DePQfejfuwQ
380,4/20/2024,34,17,6,1,4,"28,964",Yf4nB2DfVh0
